class,average_loudness,spectral_spread_var,ZCR_mean,Dissonance_mean,spectral_flux_mean,spectral_centroid_mean,energyband_middle_high_mean,energyband_middle_low_mean
rnb,0.75327920910000001,12900003479600.0,0.064939700099999997,0.43777251239999998,0.068696275400000006,1012.3540649399999,0.0033187401000000002,0.013569031800000001
jazz,0.7384854555,2608578953220.0,0.0466489904,0.40775325890000003,0.054910596499999999,1037.8175048799999,0.0033277082,0.010047885600000001
folk,0.77572149040000005,4547825106940.0,0.034706432400000001,0.4455001354,0.074526622900000006,582.22723388700001,0.0021630870000000002,0.017694667000000001
classical,0.040760364399999999,1896556527620.0,0.29861047860000001,0.44555404780000002,0.082503415600000005,645.43762206999997,0.0022049678999999998,0.0117305825
electronic,0.031494688200000003,1168439508990.0,0.026730298999999999,0.36061933639999999,0.030982589299999998,630.08270263700001,0.0045693927000000001,0.0074125327999999997
hiphop,0.83158016199999996,26953717383200.0,0.19091087579999999,0.4784012735,0.1209840551,1701.03515625,0.0033104295999999999,0.0102324635
rnb,0.86068457369999996,13169947836400.0,0.038765754600000001,0.4641375244,0.095484890000000003,956.47210693399995,0.0066615473,0.015535666599999999
jazz,0.79951304199999995,859888680960.0,0.3159142137,0.4704349041,0.096828363799999997,1144.2246093799999,0.0064276311999999997,0.0117735285
folk,0.36054658890000002,2821902303230.0,0.036132264900000002,0.4276633561,0.0461065695,653.51251220699999,0.0034237599000000001,0.011418110699999999
classical,0.87658733129999999,888735268864.0,0.041771121299999998,0.44157457350000001,0.070041067900000004,968.71954345699999,0.0070234308999999997,0.014778535799999999
electronic,0.96515136960000003,10455734026200.0,0.0574851818,0.456361711,0.1030785441,1103.43005371,0.0039121592000000002,0.0113215894
hiphop,0.79639118909999995,5694285152260.0,0.0484917313,0.46576204900000001,0.093677349399999998,1363.8936767600001,0.0066500721000000004,0.0079403725000000008
rnb,0.94126188759999996,10453246804000.0,0.1458874792,0.46053668860000002,0.13474337759999999,1039.89685059,0.0038549153000000001,0.014439508300000001
jazz,0.87102258210000005,8938440359940.0,0.051916066599999998,0.41822224860000001,0.066759757700000005,982.88128662099996,0.0032781811999999999,0.013471943300000001
folk,0.61627209189999999,4617917169660.0,0.042132876800000003,0.4006487131,0.041859984400000001,747.45599365199996,0.0031969111999999998,0.012383286800000001
classical,0.058018252300000003,1506554806270.0,0.040449980599999998,0.4112797976,0.0500429794,938.87072753899997,0.0069409077999999999,0.0086616808999999996
electronic,0.78390926120000004,2672666345470.0,0.057146161799999998,0.43231719730000001,0.0584081896,1240.0881347699999,0.0055639412999999999,0.0089553380000000002
hiphop,0.88096851109999996,862218682368.0,0.084080278899999999,0.47158673410000002,0.13580715660000001,1354.3328857399999,0.0036765162,0.0092482733999999997
rnb,0.50206518170000003,2803286671360.0,0.044455550599999998,0.44896882770000002,0.055796295400000001,1111.83496094,0.0044300025000000003,0.0087070754
jazz,0.77379870409999996,4393246916610.0,0.2361595333,0.42836177349999999,0.063921831499999998,698.10290527300003,0.0020023577,0.0134942597
folk,0.62493968010000001,13506316337200.0,0.033785734300000002,0.3876499236,0.046520426900000002,665.19567871100003,0.0038485847999999998,0.0187643729
classical,0.35240393879999998,3441585029120.0,0.036033339800000001,0.3729875386,0.036216203099999997,792.25476074200003,0.0036310806999999999,0.0102069741
electronic,0.86278331279999998,7546798604290.0,0.17105467620000001,0.48171043400000002,0.14466983080000001,1514.2727050799999,0.0039210534,0.0095762676000000005
hiphop,0.88555061820000003,3312646094850.0,0.079740971300000005,0.480699867,0.072499722200000005,1967.1375732399999,0.0013070166,0.010191659400000001
rnb,0.90353751179999997,6014194679810.0,0.088344283400000001,0.45200011130000001,0.0720075518,1393.5432128899999,0.0081902704999999992,0.0068277683999999998
jazz,0.62660884859999999,5490920128510.0,0.042048886399999999,0.42214390639999999,0.058103807299999997,787.43481445299994,0.0030408140999999998,0.0165770464
folk,0.78562855720000002,1963289870340.0,0.10448592900000001,0.4478778839,0.0749570876,654.70355224599996,0.0014704841,0.010765301999999999
classical,0.25167164209999998,2586518487040.0,0.0482789837,0.42819041009999997,0.040672291100000001,1102.32775879,0.0043835584000000002,0.0076347734000000002
electronic,0.92985427379999996,7874469167100.0,0.1185837984,0.48368057609999998,0.096747413300000001,2193.5332031299999,0.0034662841000000001,0.0050059222000000004
hiphop,0.92657101149999999,1290317201410.0,0.097272329000000005,0.45672824979999999,0.14282448589999999,740.24194335899995,0.0022939512999999999,0.0135376751
rnb,0.84694331879999996,1241116442620.0,0.1187980101,0.4510829449,0.14449097220000001,889.95147705099998,0.0024973608,0.0123254964
jazz,0.16311527789999999,988137652224.0,0.049679916400000003,0.45030197500000002,0.058786016000000003,1084.4920654299999,0.0041297208999999998,0.0100251557
folk,0.51918709279999997,3452622602240.0,0.045202873599999999,0.43122962120000002,0.061929281799999999,885.88586425799997,0.003536829,0.0128988456
classical,0.90970587729999997,2033039966210.0,0.061719805000000003,0.45492953060000002,0.080136120300000002,1284.3840332,0.0078852939999999993,0.0141879478
electronic,0.92077577109999997,4629413756930.0,0.067403696499999999,0.47253462670000002,0.1040529758,1382.8503418,0.0041153459000000002,0.0111289797
hiphop,0.93814384939999995,14933413593100.0,0.079611241799999996,0.45944291349999999,0.090494684899999997,1587.4069824200001,0.0021390868,0.0071897213000000001
rnb,0.88199561829999995,3104699842560.0,0.060960877699999999,0.45239928359999998,0.078164644500000005,1312.9288330100001,0.0047520134000000004,0.0131227197
jazz,0.87907344099999996,1905960681470.0,0.079812511799999999,0.45448416470000003,0.12538191679999999,887.77789306600005,0.0031009237,0.0152369021
folk,0.95450174809999999,814034386944.0,0.27887538080000002,0.47256365420000002,0.12047316130000001,1374.3565673799999,0.0070733990999999998,0.0135846725
classical,0.051326412699999997,18499422388200.0,0.040253419399999997,0.37523055080000001,0.029042433900000001,663.09112548799999,0.0031079329000000002,0.010224182199999999
electronic,0.92849433420000005,5670377095170.0,0.1060291082,0.47885593770000001,0.112054579,2385.8557128900002,0.0018444937,0.0084352186000000006
hiphop,0.97165513039999996,4145383211010.0,0.071646623300000004,0.45994031429999999,0.11477734890000001,1443.08630371,0.0060072835000000002,0.0123845339
rnb,0.91295230390000004,10749547118600.0,0.1006567404,0.47162514929999999,0.087993614400000003,1822.14160156,0.0027480558,0.0058090542000000002
jazz,0.81230634450000005,6211823992830.0,0.0469190627,0.4574588537,0.067669741800000002,1141.75964355,0.0063923625000000001,0.0125606563
folk,0.027706353,4323543351300.0,0.043214559600000001,0.4388676286,0.058329258100000003,841.03796386700003,0.011748590499999999,0.0081240329999999993
classical,0.0055046621999999996,1675127947260.0,0.039744678899999997,0.42118576169999999,0.040266871500000002,932.92376708999996,0.0032284093999999999,0.0065727676000000004
electronic,0.83617305760000005,5897589358590.0,0.065582126399999996,0.47539037470000001,0.095682926500000001,1478.66174316,0.0049959313999999996,0.0099295061000000007
hiphop,0.93355113270000001,7643973287940.0,0.16958647969999999,0.46711218360000001,0.1169166937,1227.6030273399999,0.0032529443999999999,0.013735280399999999
rnb,0.77250826360000002,1614407008260.0,0.053459301600000002,0.45618590710000001,0.074491165600000006,1504.8470459,0.0070560327999999997,0.0086099347000000003
jazz,0.2522573769,4247757783040.0,0.30059108140000002,0.40466815229999997,0.064783804099999995,450.53723144499997,0.00082537820000000005,0.0137299486
folk,0.3927773833,1736581840900.0,0.030350852800000001,0.43238928910000002,0.050367750199999999,695.06939697300004,0.0027875096999999999,0.011017131600000001
classical,0.1926441491,3099682930690.0,0.019624734299999998,0.38756558299999999,0.0747729912,620.65368652300003,0.0026289986000000002,0.016409497700000001
electronic,0.30259203909999999,32781600030700.0,0.17621389030000001,0.45285472269999999,0.1120028496,866.583984375,0.0010727126,0.013296644200000001
hiphop,0.91885167359999997,528744644608.0,0.18548868600000001,0.46914583440000002,0.1119296998,1106.9071044899999,0.0043053780999999999,0.0130700022
rnb,0.85915255550000003,1596355510270.0,0.15627203880000001,0.43663239479999999,0.083579800999999995,631.00628662099996,0.0026159547,0.0130567467
jazz,0.68064075710000005,3839459065860.0,0.035512726799999998,0.42190253729999999,0.055085439200000003,687.07690429700006,0.00054543199999999999,0.0118816961
folk,0.87519389390000002,24046255210500.0,0.078316263900000002,0.46506971120000001,0.071520820299999996,1636.94824219,0.0084887165999999997,0.0091726510000000004
